记录ID,包名,架构,版本,网站地址,下载地址
beffad2a-54e8-4411-940e-9c2b2ee93193,org.kde.gwenview,x86_64,26.04.1-1,https://github.com/pkgforge-dev/Gwenview-AppImage/releases/tag/26.04.1-1@2026-05-22_1779458128,https://rustfsadmin.cicd2.getdeepin.org/linyaps/gwenview_x86_64_26.04.1-1.AppImage
c907a9c5-f2ce-4246-84ea-30b103709b37,fr.handbrake.ghb,x86_64,1.11.1,https://github.com/HandBrake/HandBrake/releases/tag/1.11.1,https://rustfsadmin.cicd2.getdeepin.org/linyaps/fr.handbrake.ghb_x86_64_1.11.1.flatpak
a357aad8-30bd-42bd-944d-c69d2eda3b70,org.moonlight,x86_64,6.1.0,https://github.com/moonlight-stream/moonlight-qt/releases/tag/v6.1.0,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.moonlight_x86_64_6.1.0.tar.gz
2a166478-47c7-4517-976f-90122a77c37e,com.pinta-project.www,x86_64,3.1.2,https://github.com/PintaProject/Pinta/releases/tag/3.1.2,https://rustfsadmin.cicd2.getdeepin.org/linyaps/com.pinta-project.www_source_3.1.2.tar.gz
f31471ef-a5b6-4c4b-a073-14be8c93c62d,com.calibre-ebook.calibre,x86_64,9.8.0,https://calibre-ebook.com/download_linux,https://rustfsadmin.cicd2.getdeepin.org/linyaps/calibre_x86_64_9.8.0.txz
6205eb1c-203b-4a7a-b9f8-b2c392aecab3,com.github.johnfactotum.foliate,x86_64,3.3.0,https://github.com/johnfactotum/foliate/releases/tag/3.3.0,https://rustfsadmin.cicd2.getdeepin.org/linyaps/foliate_3.3.0_all.deb
d7dcffe2-132d-455f-9023-368755ddf5d9,cn.androidgoogle.studio,x86_64,2025.3.4.7,https://developer.android.google.cn/studio?hl=zh-cn,https://rustfsadmin.cicd2.getdeepin.org/linyaps/cn.androidgoogle.studio_x86_64_2025.3.4.7.tar.gz
f2d4214e-1455-4608-8e26-81d26b70b448,io.podman-desktop,x86_64,1.27.2,https://github.com/podman-desktop/podman-desktop/releases/tag/v1.27.2,https://rustfsadmin.cicd2.getdeepin.org/linyaps/io.podman-desktop_arm64_1.27.2.tar.gz
5150beb2-68c9-4d4b-893f-6e62dba9b7f2,org.filezilla,x86_64,3.70.5,https://filezilla-project.org/download.php?type=client,https://rustfsadmin.cicd2.getdeepin.org/linyaps/org.filezilla_x86_64_3.70.5.tar.xz
ce59fd68-9a36-43e2-b6dc-d9c6a45e4b9e,sublime-text,x86_64,4200,https://www.sublimetext.com/download,https://rustfsadmin.cicd2.getdeepin.org/linyaps/sublime-text_x86_64_4200.deb
